month,n_documents,n_claims,fiscal_br,monetary_br,politics_br,global_usd,commodities,risk_sentiment,china_em,trade_policy,capital_flows
2021-10,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05,1,3,0.6,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0
2023-06,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10,1,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,1,1,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0
2023-12,1,1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
2024-01,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06,1,3,-0.7,-0.6,0.0,0.0,-0.4,0.0,0.0,0.0,0.0
2024-07,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11,1,1,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5
2025-01,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02,1,1,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
2025-03,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
